"id","code","description","status","version"
"230","4329","Otras instalaciones especializadas.","1","3"
"231","4330","Terminación y acabado de edificios y obras de ingeniería civil.","1","3"
"232","4390","Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil.","1","3"
"233","4511","Comercio de vehículos automotores nuevos.","1","3"
"234","4512","Comercio de vehículos automotores usados.","1","3"
"235","4520","Mantenimiento y reparación de vehículos automotores.","1","3"
"236","4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos au­tomotores.","1","3"
"237","4541","Comercio de motocicletas y de sus partes, piezas y accesorios.","1","3"
"238","4542","Mantenimiento y reparación de motocicletas y de sus partes y piezas.","1","3"
"239","4610","Comercio al por mayor a cambio de una retribución o por contrata.","1","3"
"240","4620","Comercio al por mayor de materias primas agropecuarias; animales vivos.","1","3"
"241","4631","Comercio al por mayor de productos alimenticios.","1","3"
"242","4632","Comercio al por mayor de bebidas y tabaco.","1","3"
"243","4641","Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico.","1","3"
"244","4642","Comercio al por mayor de prendas de vestir.","1","3"
"245","4643","Comercio al por mayor de calzado.","1","3"
"246","4644","Comercio al por mayor de aparatos y equipo de uso doméstico.","1","3"
"247","4645","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador.","1","3"
"248","4649","Comercio al por mayor de otros utensilios domésticos n.c.p.","1","3"
"249","4651","Comercio al por mayor de computadores, equipo periférico y programas de informática.","1","3"
"250","4652","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomuni­caciones.","1","3"
"251","4653","Comercio al por mayor de maquinaria y equipo agropecuarios.","1","3"
"252","4659","Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","1","3"
"253","4661","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos.","1","3"
"254","4662","Comercio al por mayor de metales y productos metalíferos.","1","3"
"255","4663","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción.","1","3"
